State,District,Name,URL,Party,Office Room,Phone,Committee Assignment
"Arkansas","3rd","Womack, Steve","https://womack.house.gov/","R","2412 RHOB","(202) 225-4301","Appropriations"
"Arkansas","4th","Westerman, Bruce","https://westerman.house.gov/","R","202 CHOB","(202) 225-3772","Natural Resources;Transportation and Infrastructure"
"California","1st","LaMalfa, Doug","https://lamalfa.house.gov","R","408 CHOB","(202) 225-3076","Agriculture;Natural Resources;Transportation and Infrastructure"
"California","2nd","Huffman, Jared","https://huffman.house.gov","D","2330 RHOB","(202) 225-5161","Natural Resources;Transportation and Infrastructure"
"California","3rd","Kiley, Kevin","https://kiley.house.gov","R","2445 RHOB","(202) 225-2523","Education and Workforce;Judiciary;Transportation and Infrastructure"
"California","4th","Thompson, Mike","https://mikethompson.house.gov/","D","268 CHOB","(202) 225-3311","Ways and Means"
"California","5th","McClintock, Tom","https://mcclintock.house.gov/","R","2256 RHOB","(202) 225-2511","Budget;Natural Resources;Judiciary"
"California","6th","Bera, Ami","https://bera.house.gov","D","172 CHOB","(202) 225-5716","Foreign Affairs;Intelligence"
"California","7th","Matsui, Doris","https://matsui.house.gov","D","2206 RHOB","(202) 225-7163","Energy and Commerce"
"California","8th","Garamendi, John","https://garamendi.house.gov/","D","2428 RHOB","(202) 225-1880","Armed Services;Transportation and Infrastructure"
"California","9th","Harder, Josh","https://harder.house.gov/","D","209 CHOB","(202) 225-4540","Appropriations"
"California","10th","DeSaulnier, Mark","https://desaulnier.house.gov/","D","2134 RHOB","(202) 225-2095","Education and Workforce;Transportation and Infrastructure;Ethics"
"California","11th","Pelosi, Nancy","https://pelosi.house.gov/","D","1236 LHOB","(202) 225-4965",""
"California","12th","Simon, Lateefah","https://simon.house.gov/","D","1023 LHOB","(202) 225-2661","Oversight and Government Reform;Small Business"
"California","13th","Gray, Adam","https://gray.house.gov/","D","1230 LHOB","(202) 225-1947","Agriculture;Natural Resources"
"California","14th","Swalwell, Eric","https://swalwell.house.gov","D","174 CHOB","(202) 225-5065","Homeland Security;Judiciary"
"California","15th","Mullin, Kevin","https://kevinmullin.house.gov","D","1404 LHOB","(202) 225-3531","Energy and Commerce"
"California","16th","Liccardo, Sam","https://liccardo.house.gov/","D","1117 LHOB","(202) 225-8104","Financial Services"
"California","17th","Khanna, Ro","https://khanna.house.gov","D","306 CHOB","(202) 225-2631","Armed Services;Oversight and Government Reform;Select Comm on the Strategic Competition US and China"
"California","18th","Lofgren, Zoe","https://lofgren.house.gov/","D","1401 LHOB","(202) 225-3072","Judiciary;Science, Space, and Technology"
"California","19th","Panetta, Jimmy","https://panetta.house.gov","D","200 CHOB","(202) 225-2861","Budget;Ways and Means"
"California","20th","Fong, Vince","https://fong.house.gov/","R","243 CHOB","(202) 225-2915","Transportation and Infrastructure;Science, Space, and Technology"
"California","21st","Costa, Jim","https://costa.house.gov/","D","2081 RHOB","(202) 225-3341","Agriculture;Foreign Affairs"
"California","22nd","Valadao, David","https://valadao.house.gov","R","2465 RHOB","(202) 225-4695","Appropriations;Joint Committee of Congress on the Library"
"California","23rd","Obernolte, Jay","https://obernolte.house.gov","R","2433 RHOB","(202) 225-5861","Budget;Energy and Commerce;Science, Space, and Technology"
"California","24th","Carbajal, Salud","https://carbajal.house.gov","D","2331 RHOB","(202) 225-3601","Agriculture;Armed Services;Transportation and Infrastructure"
"California","25th","Ruiz, Raul","https://ruiz.house.gov","D","2342 RHOB","(202) 225-5330","Energy and Commerce"
"California","26th","Brownley, Julia","https://juliabrownley.house.gov","D","2262 RHOB","(202) 225-5811","Natural Resources;Transportation and Infrastructure;Veterans' Affairs"
"California","27th","Whitesides, George","https://whitesides.house.gov/","D","1504 LHOB","(202) 225-1956","Armed Services;Science, Space, and Technology"
"California","28th","Chu, Judy","https://chu.house.gov/","D","2423 RHOB","(202) 225-5464","Budget;Ways and Means"
"California","29th","Rivas, Luz","https://rivas.house.gov/","D","1319 LHOB","(202) 225-6131","Natural Resources;Science, Space, and Technology"
"California","30th","Friedman, Laura","https://friedman.house.gov/","D","1517 LHOB","(202) 225-4176","Transportation and Infrastructure;Science, Space, and Technology"
"California","31st","Cisneros, Gilbert","https://cisneros.house.gov/","D","2463 RHOB","(202) 225-5256","Armed Services;Small Business"
"California","32nd","Sherman, Brad","https://sherman.house.gov","D","2365 RHOB","(202) 225-5911","Financial Services;Foreign Affairs"
"California","33rd","Aguilar, Pete","https://aguilar.house.gov/","D","108 CHOB","(202) 225-3201","Appropriations"
"California","34th","Gomez, Jimmy","https://gomez.house.gov/","D","506 CHOB","(202) 225-6235","Intelligence;Ways and Means"
"California","35th","Torres, Norma","https://torres.house.gov/","D","2227 RHOB","(202) 225-6161","Appropriations;House Administration"
"California","36th","Lieu, Ted","https://lieu.house.gov/","D","2454 RHOB","(202) 225-3976","Foreign Affairs;Judiciary"
"California","37th","Kamlager-Dove, Sydney","https://kamlager-dove.house.gov","D","144 CHOB","(202) 225-7084","Foreign Affairs;Judiciary"
"California","38th","Sanchez, Linda","https://lindasanchez.house.gov/","D","2309 RHOB","(202) 225-6676","Ways and Means"
"California","39th","Takano, Mark","https://takano.house.gov","D","2078 RHOB","(202) 225-2305","Education and Workforce;Veterans' Affairs"
"California","40th","Kim, Young","https://youngkim.house.gov","R","2439 RHOB","(202) 225-4111","Financial Services;Foreign Affairs;Select Comm on the Strategic Competition US and China"
"California","41st","Calvert, Ken","https://calvert.house.gov/","R","2205 RHOB","(202) 225-1986","Appropriations"
"California","42nd","Garcia, Robert","https://robertgarcia.house.gov","D","109 CHOB","(202) 225-7924","Oversight and Government Reform;Homeland Security;Transportation and Infrastructure"
"California","43rd","Waters, Maxine","https://waters.house.gov","D","2221 RHOB","(202) 225-2201","Financial Services"
"California","44th","Barragan, Nanette","https://barragan.house.gov","D","2312 RHOB","(202) 225-8220","Energy and Commerce"
"California","45th","Tran, Derek","https://tran.house.gov/","D","1127 LHOB","(202) 225-2415","Armed Services;Small Business"
"California","46th","Correa, J.","https://correa.house.gov","D","2082 RHOB","(202) 225-2965","Homeland Security;Judiciary"
"California","47th","Min, Dave","https://min.house.gov/","D","1034 LHOB","(202) 225-5611","Oversight and Government Reform;Natural Resources"
"California","48th","Issa, Darrell","https://issa.house.gov","R","2108 RHOB","(202) 225-5672","Foreign Affairs;Judiciary;Science, Space, and Technology"
"California","49th","Levin, Mike","https://levin.house.gov/","D","2352 RHOB","(202) 225-3906","Appropriations"
"California","50th","Peters, Scott","https://scottpeters.house.gov","D","2369 RHOB","(202) 225-0508","Budget;Energy and Commerce"
"California","51st","Jacobs, Sara","https://sarajacobs.house.gov","D","2348 RHOB","(202) 225-2040","Armed Services;Foreign Affairs"
"California","52nd","Vargas, Juan","https://vargas.house.gov","D","2467 RHOB","(202) 225-8045","Financial Services"
"Colorado","1st","DeGette, Diana","https://degette.house.gov","D","2111 RHOB","(202) 225-4431","Energy and Commerce"
"Colorado","2nd","Neguse, Joe","https://neguse.house.gov/","D","2400 RHOB","(202) 225-2161","Natural Resources;Judiciary;Rules"
"Colorado","3rd","Hurd, Jeff","https://hurd.house.gov/","R","1641 LHOB","(202) 225-4676","Natural Resources;Transportation and Infrastructure;Science, Space, and Technology"
"Colorado","4th","Boebert, Lauren","https://boebert.house.gov","R","1713 LHOB","(202) 225-4761","Oversight and Government Reform;Natural Resources"
"Colorado","5th","Crank, Jeff","https://crank.house.gov/","R","1029 LHOB","(202) 225-4422","Armed Services;Natural Resources"
"Colorado","6th","Crow, Jason","https://crow.house.gov/","D","1323 LHOB","(202) 225-7882","Armed Services;Intelligence"
"Colorado","7th","Pettersen, Brittany","https://pettersen.house.gov","D","348 CHOB","(202) 225-2645","Financial Services"
"Colorado","8th","Evans, Gabe","https://gabeevans.house.gov/","R","1229 LHOB","(202) 225-5625","Homeland Security;Energy and Commerce"
"Connecticut","1st","Larson, John","https://larson.house.gov/","D","1501 LHOB","(202) 225-2265","Ways and Means"
"Connecticut","2nd","Courtney, Joe","https://courtney.house.gov/","D","2449 RHOB","(202) 225-2076","Armed Services;Education and Workforce"
"Connecticut","3rd","DeLauro, Rosa","https://delauro.house.gov/","D","2413 RHOB","(202) 225-3661","Appropriations"
"Connecticut","4th","Himes, James","https://himes.house.gov/","D","2137 RHOB","(202) 225-5541","Financial Services;Intelligence"
"Connecticut","5th","Hayes, Jahana","https://hayes.house.gov","D","2049 RHOB","(202) 225-4476","Agriculture;Education and Workforce"
"Delaware","At Large","McBride, Sarah","https://mcbride.house.gov/","D","1306 LHOB","(202) 225-4165","Foreign Affairs;Science, Space, and Technology"
"District of Columbia","Delegate","Norton, Eleanor","https://norton.house.gov/","D","2136 RHOB","(202) 225-8050","Oversight and Government Reform;Transportation and Infrastructure"
"Florida","1st","Patronis, Jimmy","https://patronis.house.gov/","R","2021 RHOB","(202) 225-4136","Transportation and Infrastructure;Small Business"
"Florida","2nd","Dunn, Neal","https://dunn.house.gov","R","466 CHOB","(202) 225-5235","Energy and Commerce;Select Comm on the Strategic Competition US and China"
"Florida","3rd","Cammack, Kat","https://cammack.house.gov","R","2421 RHOB","(202) 225-5744","Agriculture;Energy and Commerce"
"Florida","4th","Bean, Aaron","https://bean.house.gov","R","2459 RHOB","(202) 225-0123","Ways and Means"
"Florida","5th","Rutherford, John","https://rutherford.house.gov","R","1711 LHOB","(202) 225-2501","Appropriations;Ethics"
"Florida","6th","Fine, Randy","https://fine.house.gov/","R","244 CHOB","(202) 225-2706","Education and Workforce"
"Florida","7th","Mills, Cory","https://mills.house.gov","R","346 CHOB","(202) 225-4035","Armed Services;Foreign Affairs"
"Florida","8th","Haridopolos, Mike","https://haridopolos.house.gov/","R","1039 LHOB","(202) 225-3671","Financial Services;Science, Space, and Technology"
"Florida","9th","Soto, Darren","https://soto.house.gov","D","2353 RHOB","(202) 225-9889","Energy and Commerce;Natural Resources"
"Florida","10th","Frost, Maxwell","https://frost.house.gov","D","1224 LHOB","(202) 225-2176","Oversight and Government Reform;Science, Space, and Technology"
"Florida","11th","Webster, Daniel","https://webster.house.gov/","R","2184 RHOB","(202) 225-1002","Natural Resources;Transportation and Infrastructure;Science, Space, and Technology"
"Florida","12th","Bilirakis, Gus","https://bilirakis.house.gov/","R","2306 RHOB","(202) 225-5755","Energy and Commerce;Select Comm on the Strategic Competition US and China"
"Florida","13th","Luna, Anna Paulina","https://luna.house.gov","R","226 CHOB","(202) 225-5961","Foreign Affairs;Oversight and Government Reform"
"Florida","14th","Castor, Kathy","https://castor.house.gov/","D","2188 RHOB","(202) 225-3376","Energy and Commerce;Select Comm on the Strategic Competition US and China"
"Florida","15th","Lee, Laurel","https://laurellee.house.gov","R","2464 RHOB","(202) 225-5626","House Administration;Energy and Commerce;Judiciary"
"Florida","16th","Buchanan, Vern","https://buchanan.house.gov/","R","2409 RHOB","(202) 225-5015","Joint Committee on Taxation;Ways and Means"
"Florida","17th","Steube, W.","https://steube.house.gov/","R","2457 RHOB","(202) 225-5792","Intelligence;Ways and Means"
"Florida","18th","Franklin, Scott","https://franklin.house.gov","R","2301 RHOB","(202) 225-1252","Appropriations;Science, Space, and Technology"
"Florida","19th","Donalds, Byron","https://donalds.house.gov","R","1710 LHOB","(202) 225-2536","Financial Services;Oversight and Government Reform"
"Florida","20th","Cherfilus-McCormick, Sheila","https://cherfilus-mccormick.house.gov/","D","2442 RHOB","(202) 225-1313","Foreign Affairs;Veterans' Affairs"
"Florida","21st","Mast, Brian","https://mast.house.gov","R","2182 RHOB","(202) 225-3026","Foreign Affairs;Transportation and Infrastructure"
"Florida","22nd","Frankel, Lois","https://frankel.house.gov","D","2305 RHOB","(202) 225-9890","Appropriations"
"Florida","23rd","Moskowitz, Jared","https://moskowitz.house.gov","D","242 CHOB","(202) 225-3001","Foreign Affairs;Judiciary"
"Florida","24th","Wilson, Frederica","https://wilson.house.gov/","D","2080 RHOB","(202) 225-4506","Education and Workforce;Transportation and Infrastructure"
"Florida","25th","Wasserman Schultz, Debbie","https://wassermanschultz.house.gov/","D","270 CHOB","(202) 225-7931","Appropriations"
"Florida","26th","Diaz-Balart, Mario","https://mariodiazbalart.house.gov/","R","374 CHOB","(202) 225-4211","Appropriations"
"Florida","27th","Salazar, Maria","https://salazar.house.gov","R","2162 RHOB","(202) 225-3931","Financial Services;Foreign Affairs"
"Florida","28th","Gimenez, Carlos","https://gimenez.house.gov","R","448 CHOB","(202) 225-2778","Armed Services;Homeland Security;Select Comm on the Strategic Competition US and China"
"Georgia","1st","Carter, Earl","https://buddycarter.house.gov/","R","2432 RHOB","(202) 225-5831","Budget;Energy and Commerce"
"Georgia","2nd","Bishop, Sanford","https://bishop.house.gov/","D","2407 RHOB","(202) 225-3631","Appropriations"
"Georgia","3rd","Jack, Brian","https://jack.house.gov/","R","1320 LHOB","(202) 225-5901","Oversight and Government Reform;Rules;Small Business"
"Georgia","4th","Johnson, Henry","https://hankjohnson.house.gov/","D","2240 RHOB","(202) 225-1605","Judiciary;Transportation and Infrastructure"
"Georgia","5th","Williams, Nikema","https://nikemawilliams.house.gov","D","1406 LHOB","(202) 225-3801","Financial Services"
"Georgia","6th","McBath, Lucy","https://mcbath.house.gov","D","2246 RHOB","(202) 225-4501","Education and Workforce;Judiciary"
"Georgia","7th","McCormick, Richard","https://mccormick.house.gov","R","1719 LHOB","(202) 225-4272","Armed Services;Foreign Affairs;Science, Space, and Technology"
"Georgia","8th","Scott, Austin","https://austinscott.house.gov/","R","2185 RHOB","(202) 225-6531","Agriculture;Armed Services;Intelligence;Rules"
"Georgia","9th","Clyde, Andrew","https://clyde.house.gov","R","445 CHOB","(202) 225-9893","Appropriations;Budget"
"Georgia","10th","Collins, Mike","https://collins.house.gov","R","2351 RHOB","(202) 225-4101","Natural Resources;Transportation and Infrastructure;Science, Space, and Technology"
"Georgia","11th","Loudermilk, Barry","https://loudermilk.house.gov","R","2133 RHOB","(202) 225-2931","Financial Services;House Administration"
"Georgia","12th","Allen, Rick","https://allen.house.gov","R","462 CHOB","(202) 225-2823","Education and Workforce;Energy and Commerce"
"Georgia","13th","Scott, David","https://davidscott.house.gov/","D","468 CHOB","(202) 225-2939","Agriculture;Financial Services"
"Georgia","14th","Greene, Marjorie","https://greene.house.gov","R","2201 RHOB","(202) 225-5211","Oversight and Government Reform;Homeland Security"
"Guam","Delegate","Moylan, James","https://moylan.house.gov","R","228 CHOB","(202) 225-1188","Armed Services;Education and Workforce;Foreign Affairs"
"Hawaii","1st","Case, Ed","https://case.house.gov/","D","2210 RHOB","(202) 225-2726","Appropriations"
"Hawaii","2nd","Tokuda, Jill","https://tokuda.house.gov","D","1027 LHOB","(202) 225-4906","Agriculture;Armed Services;Select Comm on the Strategic Competition US and China"
"Idaho","1st","Fulcher, Russ","https://fulcher.house.gov/","R","1514 LHOB","(202) 225-6611","Energy and Commerce;Natural Resources"
"Idaho","2nd","Simpson, Michael","https://simpson.house.gov","R","2084 RHOB","(202) 225-5531","Appropriations"
"Illinois","1st","Jackson, Jonathan","https://jonathanjackson.house.gov","D","1632 LHOB","(202) 225-4372","Agriculture;Foreign Affairs"
"Illinois","2nd","Kelly, Robin","https://robinkelly.house.gov/","D","2329 RHOB","(202) 225-0773","Energy and Commerce"
"Illinois","3rd","Ramirez, Delia","https://ramirez.house.gov","D","1523 LHOB","(202) 225-5701","Homeland Security;Veterans' Affairs"
"Illinois","4th","Garcia, Jesus","https://chuygarcia.house.gov/","D","2334 RHOB","(202) 225-8203","Judiciary;Transportation and Infrastructure"
"Illinois","5th","Quigley, Mike","https://quigley.house.gov/","D","2083 RHOB","(202) 225-4061","Appropriations;Intelligence"
"Illinois","6th","Casten, Sean","https://casten.house.gov","D","2440 RHOB","(202) 225-4561","Financial Services"
"Illinois","7th","Davis, Danny","https://davis.house.gov","D","2159 RHOB","(202) 225-5006","Ways and Means"
"Illinois","8th","Krishnamoorthi, Raja","https://krishnamoorthi.house.gov","D","2367 RHOB","(202) 225-3711","Oversight and Government Reform;Intelligence;Select Comm on the Strategic Competition US and China"
"Illinois","9th","Schakowsky, Janice","https://schakowsky.house.gov","D","2408 RHOB","(202) 225-2111","Energy and Commerce"
"Illinois","10th","Schneider, Bradley","https://schneider.house.gov","D","300 CHOB","(202) 225-4835","Foreign Affairs;Ways and Means"
"Illinois","11th","Foster, Bill","https://foster.house.gov","D","2366 RHOB","(202) 225-3515","Financial Services"
"Illinois","12th","Bost, Mike","https://bost.house.gov/","R","352 CHOB","(202) 225-5661","Agriculture;Transportation and Infrastructure;Veterans' Affairs"
"Illinois","13th","Budzinski, Nikki","https://budzinski.house.gov","D","1717 LHOB","(202) 225-2371","Agriculture;Veterans' Affairs"
"Illinois","14th","Underwood, Lauren","https://underwood.house.gov/","D","2228 RHOB","(202) 225-2976","Appropriations"
"Illinois","15th","Miller, Mary","https://marymiller.house.gov","R","1740 LHOB","(202) 225-5271","Agriculture;Education and Workforce;House Administration"
"Illinois","16th","LaHood, Darin","https://lahood.house.gov/","R","503 CHOB","(202) 225-6201","Intelligence;Ways and Means;Select Comm on the Strategic Competition US and China"
"Illinois","17th","Sorensen, Eric","https://sorensen.house.gov","D","1314 LHOB","(202) 225-5905","Agriculture;Armed Services"
"Indiana","1st","Mrvan, Frank","https://mrvan.house.gov","D","2441 RHOB","(202) 225-2461","Appropriations"
"Indiana","2nd","Yakym, Rudy","https://yakym.house.gov","R","349 CHOB","(202) 225-3915","Ways and Means"
"Indiana","3rd","Stutzman, Marlin","https://stutzman.house.gov/","R","404 CHOB","(202) 225-4436","Financial Services;Budget"
"Indiana","4th","Baird, James","https://baird.house.gov/","R","2303 RHOB","(202) 225-5037","Agriculture;Foreign Affairs;Science, Space, and Technology"
"Indiana","5th","Spartz, Victoria","https://spartz.house.gov","R","1609 LHOB","(202) 225-2276",""
"Indiana","6th","Shreve, Jefferson","https://shreve.house.gov/","R","224 CHOB","(202) 225-3021","Foreign Affairs;Transportation and Infrastructure"
"Indiana","7th","Carson, Andre","https://carson.house.gov/","D","2135 RHOB","(202) 225-4011","Intelligence;Transportation and Infrastructure;Select Comm on the Strategic Competition US and China"
"Indiana","8th","Messmer, Mark","https://messmer.house.gov/","R","1208 LHOB","(202) 225-4636","Agriculture;Armed Services;Education and Workforce"
"Indiana","9th","Houchin, Erin","https://houchin.house.gov","R","342 CHOB","(202) 225-5315","Budget;Energy and Commerce;Rules"
"Iowa","1st","Miller-Meeks, Mariannette","https://millermeeks.house.gov/","R","504 CHOB","(202) 225-6576","Energy and Commerce;Veterans' Affairs"
"Iowa","2nd","Hinson, Ashley","https://hinson.house.gov","R","2458 RHOB","(202) 225-2911","Appropriations;Ethics;Select Comm on the Strategic Competition US and China"
"Iowa","3rd","Nunn, Zachary","https://nunn.house.gov","R","1410 LHOB","(202) 225-5476","Agriculture;Financial Services;Select Comm on the Strategic Competition US and China"
"Iowa","4th","Feenstra, Randy","https://feenstra.house.gov","R","2434 RHOB","(202) 225-4426","Agriculture;Ways and Means"
"Kansas","1st","Mann, Tracey","https://mann.house.gov","R","344 CHOB","(202) 225-2715","Agriculture;Transportation and Infrastructure"
"Kansas","2nd","Schmidt, Derek","https://schmidt.house.gov/","R","1223 LHOB","(202) 225-6601","Armed Services;Judiciary;Small Business"
"Kansas","3rd","Davids, Sharice","https://davids.house.gov/","D","2435 RHOB","(202) 225-2865","Agriculture;Transportation and Infrastructure"
"Kansas","4th","Estes, Ron","https://estes.house.gov/","R","2234 RHOB","(202) 225-6216","Budget;Ways and Means"
"Kentucky","1st","Comer, James","https://comer.house.gov/","R","2410 RHOB","(202) 225-3115","Education and Workforce;Oversight and Government Reform"
"Kentucky","2nd","Guthrie, Brett","https://guthrie.house.gov/","R","2161 RHOB","(202) 225-3501","Energy and Commerce"
"Kentucky","3rd","McGarvey, Morgan","https://mcgarvey.house.gov","D","1527 LHOB","(202) 225-5401","Budget;Small Business;Veterans' Affairs"
"Kentucky","4th","Massie, Thomas","https://massie.house.gov","R","2371 RHOB","(202) 225-3465","Judiciary;Transportation and Infrastructure"
"Kentucky","5th","Rogers, Harold","https://halrogers.house.gov/","R","2406 RHOB","(202) 225-4601","Appropriations"
"Kentucky","6th","Barr, Andy","https://barr.house.gov/","R","2430 RHOB","(202) 225-4706","Financial Services;Foreign Affairs;Select Comm on the Strategic Competition US and China"
"Louisiana","1st","Scalise, Steve","https://scalise.house.gov/","R","266 CHOB","(202) 225-3015",""
"Louisiana","2nd","Carter, Troy","https://troycarter.house.gov","D","442 CHOB","(202) 225-6636","Homeland Security;Energy and Commerce"
"Louisiana","3rd","Higgins, Clay","https://clayhiggins.house.gov","R","572 CHOB","(202) 225-2031","Armed Services;Oversight and Government Reform;Homeland Security"
"Louisiana","4th","Johnson, Mike","https://mikejohnson.house.gov","R","521 CHOB","(202) 225-2777",""
"Louisiana","5th","Letlow, Julia","https://letlow.house.gov","R","142 CHOB","(202) 225-8490","Appropriations;Education and Workforce"
"Louisiana","6th","Fields, Cleo","https://fields.house.gov/","D","2349 RHOB","(202) 225-3901","Financial Services"
"Maine","1st","Pingree, Chellie","https://pingree.house.gov/","D","2354 RHOB","(202) 225-6116","Agriculture;Appropriations"
"Maine","2nd","Golden, Jared","https://golden.house.gov","D","1107 LHOB","(202) 225-6306","Armed Services;Natural Resources"
"Maryland","1st","Harris, Andy","https://harris.house.gov/","R","1536 LHOB","(202) 225-5311","Appropriations"
"Maryland","2nd","Olszewski, Johnny","https://olszewski.house.gov/","D","1339 LHOB","(202) 225-3061","Foreign Affairs;Small Business"
"Maryland","3rd","Elfreth, Sarah","https://elfreth.house.gov/","D","1213 LHOB","(202) 225-4016","Armed Services;Natural Resources"
"Maryland","4th","Ivey, Glenn","https://ivey.house.gov","D","1610 LHOB","(202) 225-8699","Appropriations;Ethics"
"Maryland","5th","Hoyer, Steny","https://hoyer.house.gov/","D","1705 LHOB","(202) 225-4131","Appropriations"
"Maryland","6th","McClain Delaney, April","https://mcclaindelaney.house.gov/","D","1130 LHOB","(202) 225-2721","Agriculture;Science, Space, and Technology"
"Maryland","7th","Mfume, Kweisi","https://mfume.house.gov/","D","2263 RHOB","(202) 225-4741","Foreign Affairs;Oversight and Government Reform"
"Maryland","8th","Raskin, Jamie","https://raskin.house.gov","D","2242 RHOB","(202) 225-5341","Judiciary"
"Massachusetts","1st","Neal, Richard","https://neal.house.gov/","D","372 CHOB","(202) 225-5601","Joint Committee on Taxation;Ways and Means"
"Massachusetts","2nd","McGovern, James","https://mcgovern.house.gov/","D","370 CHOB","(202) 225-6101","Agriculture;Rules"
"Massachusetts","3rd","Trahan, Lori","https://trahan.house.gov","D","2233 RHOB","(202) 225-3411","Energy and Commerce"
"Massachusetts","4th","Auchincloss, Jake","https://auchincloss.house.gov","D","1524 LHOB","(202) 225-5931","Energy and Commerce"
"Massachusetts","5th","Clark, Katherine","https://katherineclark.house.gov/index.cfm/home","D","2368 RHOB","(202) 225-2836",""
"Massachusetts","6th","Moulton, Seth","https://moulton.house.gov/","D","1126 LHOB","(202) 225-8020","Armed Services;Transportation and Infrastructure;Select Comm on the Strategic Competition US and China"
"Massachusetts","7th","Pressley, Ayanna","https://pressley.house.gov","D","402 CHOB","(202) 225-5111","Financial Services;Oversight and Government Reform"
"Massachusetts","8th","Lynch, Stephen","https://lynch.house.gov/","D","2109 RHOB","(202) 225-8273","Financial Services;Oversight and Government Reform"
"Massachusetts","9th","Keating, William","https://keating.house.gov/","D","2372 RHOB","(202) 225-3111","Armed Services;Foreign Affairs"
"Michigan","1st","Bergman, Jack","https://bergman.house.gov","R","566 CHOB","(202) 225-4735","Armed Services;Budget;Veterans' Affairs"
"Michigan","2nd","Moolenaar, John","https://moolenaar.house.gov/","R","246 CHOB","(202) 225-3561","Appropriations;Select Comm on the Strategic Competition US and China"
"Michigan","3rd","Scholten, Hillary","https://scholten.house.gov","D","1317 LHOB","(202) 225-3831","Transportation and Infrastructure;Small Business"
"Michigan","4th","Huizenga, Bill","https://huizenga.house.gov/","R","2232 RHOB","(202) 225-4401","Financial Services;Foreign Affairs"
"Michigan","5th","Walberg, Tim","https://walberg.house.gov/","R","2266 RHOB","(202) 225-6276","Education and Workforce;Natural Resources"
"Michigan","6th","Dingell, Debbie","https://debbiedingell.house.gov/","D","102 CHOB","(202) 225-4071","Energy and Commerce;Natural Resources"
"Michigan","7th","Barrett, Tom","https://barrett.house.gov/","R","1232 LHOB","(202) 225-4872","Transportation and Infrastructure;Veterans' Affairs"
"Michigan","8th","McDonald Rivet, Kristen","https://mcdonaldrivet.house.gov/","D","1408 LHOB","(202) 225-3611","Agriculture;Transportation and Infrastructure"
"Michigan","9th","McClain, Lisa","https://mcclain.house.gov","R","562 CHOB","(202) 225-2106","Financial Services;Education and Workforce"
"Michigan","10th","James, John","https://james.house.gov","R","1519 LHOB","(202) 225-4961","Energy and Commerce"
"Michigan","11th","Stevens, Haley","https://stevens.house.gov/","D","2411 RHOB","(202) 225-8171","Education and Workforce;Science, Space, and Technology;Select Comm on the Strategic Competition US and China"
